pay_date,employee_id,employee_name,role,type,amount,account
2023-02-15,C001,David Jones,Marketing Contractor,Contractor Pay,1131,Checking Secondary
2023-03-15,E001,Alice Smith,Barista,Employee Pay,1827,Checking Secondary
2023-03-15,E002,Ben Lee,Barista,Employee Pay,1745,Checking Secondary
2023-03-15,E003,Carla Gomez,Manager,Employee Pay,2191,Checking Secondary
2023-03-15,C001,David Jones,Marketing Contractor,Contractor Pay,1240,Checking Secondary
2023-04-15,E001,Alice Smith,Barista,Employee Pay,1730,Checking Secondary
2023-04-15,E002,Ben Lee,Barista,Employee Pay,1727,Checking Secondary
2023-04-15,E003,Carla Gomez,Manager,Employee Pay,2119,Checking Secondary
2023-04-15,C001,David Jones,Marketing Contractor,Contractor Pay,1245,Checking Secondary
2023-05-15,E001,Alice Smith,Barista,Employee Pay,1759,Checking Secondary
2023-05-15,E002,Ben Lee,Barista,Employee Pay,1840,Checking Secondary
2023-05-15,E003,Carla Gomez,Manager,Employee Pay,2233,Checking Secondary
2023-05-15,C001,David Jones,Marketing Contractor,Contractor Pay,1259,Checking Secondary
2023-06-15,E001,Alice Smith,Barista,Employee Pay,1792,Checking Secondary
2023-06-15,E002,Ben Lee,Barista,Employee Pay,1692,Checking Secondary
2023-06-15,E003,Carla Gomez,Manager,Employee Pay,2229,Checking Secondary
2023-06-15,C001,David Jones,Marketing Contractor,Contractor Pay,1159,Checking Secondary
2023-07-15,E001,Alice Smith,Barista,Employee Pay,1850,Checking Secondary
2023-07-15,E002,Ben Lee,Barista,Employee Pay,1680,Checking Secondary
2023-07-15,E003,Carla Gomez,Manager,Employee Pay,2104,Checking Secondary
2023-07-15,C001,David Jones,Marketing Contractor,Contractor Pay,1261,Checking Secondary
2023-08-15,E001,Alice Smith,Barista,Employee Pay,1709,Checking Secondary
2023-08-15,E002,Ben Lee,Barista,Employee Pay,1738,Checking Secondary
2023-08-15,E003,Carla Gomez,Manager,Employee Pay,2229,Checking Secondary
2023-08-15,C001,David Jones,Marketing Contractor,Contractor Pay,1225,Checking Secondary
2023-09-15,E001,Alice Smith,Barista,Employee Pay,1710,Checking Secondary
2023-09-15,E002,Ben Lee,Barista,Employee Pay,1827,Checking Secondary
2023-09-15,E003,Carla Gomez,Manager,Employee Pay,2258,Checking Secondary
2023-09-15,C001,David Jones,Marketing Contractor,Contractor Pay,1155,Checking Secondary
2023-10-15,E001,Alice Smith,Barista,Employee Pay,1782,Checking Secondary
2023-10-15,E002,Ben Lee,Barista,Employee Pay,1786,Checking Secondary
2023-10-15,E003,Carla Gomez,Manager,Employee Pay,2198,Checking Secondary
2023-10-15,C001,David Jones,Marketing Contractor,Contractor Pay,1248,Checking Secondary
2023-11-15,E001,Alice Smith,Barista,Employee Pay,1772,Checking Secondary
2023-11-15,E002,Ben Lee,Barista,Employee Pay,1805,Checking Secondary
2023-11-15,E003,Carla Gomez,Manager,Employee Pay,2289,Checking Secondary
2023-11-15,C001,David Jones,Marketing Contractor,Contractor Pay,1214,Checking Secondary
2023-12-15,E001,Alice Smith,Barista,Employee Pay,1706,Checking Secondary
2023-12-15,E002,Ben Lee,Barista,Employee Pay,1729,Checking Secondary
2023-12-15,E003,Carla Gomez,Manager,Employee Pay,2243,Checking Secondary
2023-12-15,C001,David Jones,Marketing Contractor,Contractor Pay,1196,Checking Secondary
